symbol,state,days,segments,avg_segment_duration,avg_daily_return,annualized_return,annualized_vol,hit_rate,max_drawdown,accumulated_return,cumulative_return,blue_trigger_count,blue_30d_avg_return,blue_30d_hit_rate,blue_30d_best_return,blue_30d_worst_return,blue_60d_avg_return,blue_60d_hit_rate,blue_60d_best_return,blue_60d_worst_return
GLD,deep_green,1518,90,16.866666666666667,0.00035479653602644274,0.08940872707866357,0.17251481238341934,0.5210803689064558,-0.1656854499579479,0.5673775040574927,0.5673775040574927,,,,,,,,,
GLD,light_green,1847,103,17.932038834951456,0.00036398336250671016,0.09172380735169096,0.16439664212030522,0.5295073091499729,-0.21412680756395994,0.7733831735450207,0.7733831735450207,,,,,,,,,
GLD,warning,1115,73,15.273972602739725,0.0005730949806394641,0.14441993512114495,0.20655600596678428,0.5390134529147982,-0.13867715265174427,0.7225552855801916,0.7225552855801916,4.0,0.027537073279461477,0.75,0.06847538087878124,-0.013547076089410748,0.06411606575789447,1.0,0.12817398984323258,0.006773538044705374
HYG,deep_green,1757,93,18.892473118279568,-0.00021605058129006596,-0.054444746485096625,0.07622500540835564,0.4906089926010245,-0.14266083697688947,-0.32963977007528455,-0.32963977007528455,,,,,,,,,
HYG,light_green,1247,104,11.990384615384615,0.00016402495673692547,0.041334289097705215,0.12198765220274213,0.5196471531676022,-0.41070745697896743,0.18280194410712247,0.18280194410712247,,,,,,,,,
HYG,warning,1383,83,16.662650602409638,0.0003171500655638585,0.07992181652209235,0.08829704498516693,0.5473608098336948,-0.06768510258697599,0.5176328261381429,0.5176328261381429,0.0,,,,,,,,
IWM,deep_green,1711,104,16.451923076923077,0.0006658689815163355,0.16779898334211654,0.18794654500724176,0.5341905318527177,-0.12759151759270224,1.7701681239843627,1.7701681239843627,,,,,,,,,
IWM,light_green,1885,124,15.201612903225806,0.00040892594290862133,0.10304933761297258,0.2744326462539524,0.5320954907161803,-0.43588243895306333,0.6300798564859516,0.6300798564859516,,,,,,,,,
IWM,warning,1488,90,16.533333333333335,-1.3932053123238138e-06,-0.00035108773870560106,0.2633805749709708,0.5208333333333334,-0.32932038834951455,-0.18796996829390966,-0.18796996829390966,9.0,-0.008319304694041234,0.5555555555555556,0.127522239097418,-0.2563358778625954,0.0035789160648506246,0.5555555555555556,0.22432407492848583,-0.27923664122137404
LQD,deep_green,1765,75,23.533333333333335,0.00014662952898760487,0.03695064130487643,0.0585423505729318,0.5444759206798867,-0.05225254060974635,0.27990641726740173,0.27990641726740173,,,,,,,,,
LQD,light_green,1420,95,14.947368421052632,6.642531490925454e-05,0.016739179357132147,0.08855139532894532,0.5098591549295775,-0.08089869146572297,0.07465993765187262,0.07465993765187262,,,,,,,,,
LQD,warning,1271,79,16.088607594936708,-0.0002143964329465455,-0.05402790110252947,0.10257639820710047,0.5153422501966956,-0.21762121099277584,-0.2584859498061213,-0.2584859498061213,1.0,0.08496332518337413,1.0,0.08496332518337413,0.08496332518337413,0.10195599022004886,1.0,0.10195599022004886,0.10195599022004886
QQQ,deep_green,1493,103,14.495145631067961,0.0001246186142647408,0.03140389079471468,0.17916630916416715,0.5472203616878768,-0.13992405226234156,0.0940254038566466,0.0940254038566466,,,,,,,,,
QQQ,light_green,2003,125,16.024,0.0008879263791951223,0.2237574475571708,0.23089487831152938,0.5536694957563655,-0.34309946029298377,3.7906687919499573,3.7906687919499573,,,,,,,,,
QQQ,warning,1588,95,16.71578947368421,0.0007430538294165231,0.18724956501296383,0.23822921471343253,0.5535264483627204,-0.1828571428571429,1.7214327131169562,1.7214327131169562,9.0,-0.006849880382390144,0.6666666666666666,0.1382177596485723,-0.3086746987951807,0.01599397349606777,0.6666666666666666,0.1894302747769958,-0.31807228915662644
SPY,deep_green,1480,101,14.653465346534654,0.00019351752498469532,0.04876641629614322,0.13411841846160105,0.5351351351351351,-0.1172348346594642,0.2629843753900556,0.2629843753900556,,,,,,,,,
SPY,light_green,1971,125,15.768,0.00045549625539645247,0.11478505635990602,0.2216566360537683,0.5454084221207509,-0.34990522143718766,1.025364264128183,1.025364264128183,,,,,,,,,
SPY,warning,1631,96,16.989583333333332,0.0005171094550460952,0.130311582671616,0.20417943770623415,0.5579399141630901,-0.206961580259541,1.0300791652636838,1.0300791652636838,5.0,-0.015879054482820808,0.4,0.1113462198330093,-0.16430238822050636,0.007232306158456203,0.8,0.14316214876663214,-0.1911474232357694
TLT,deep_green,742,45,16.488888888888887,-8.868320226353551e-05,-0.02234816697041095,0.1189499007304991,0.5080862533692723,-0.07139939547422593,-0.08296076532605434,-0.08296076532605434,,,,,,,,,
TLT,light_green,1154,59,19.559322033898304,5.789240290398043e-06,0.0014588885531803067,0.1413796963708664,0.511265164644714,-0.10047599337748338,-0.038307892484348405,-0.038307892484348405,,,,,,,,,
TLT,warning,656,44,14.909090909090908,-0.0003493943924581249,-0.08804738689944748,0.1872362989600815,0.4878048780487805,-0.15727713234864849,-0.24026459966431546,-0.24026459966431546,4.0,0.0007571137906933756,0.5,0.07754042251858828,-0.0616257382654648,0.022496627802068236,0.75,0.1655847987725716,-0.09418713086726771
USO,deep_green,1803,97,18.587628865979383,0.000218851497543771,0.05515057738103029,0.31849436585330526,0.5324459234608985,-0.38236319275008723,0.031153314637616614,0.031153314637616614,,,,,,,,,
USO,light_green,1619,112,14.455357142857142,-0.00035248947167180214,-0.08882734686129413,0.4143101965701757,0.5027794935145151,-0.6479338842975206,-0.6771174211658582,-0.6771174211658582,,,,,,,,,
USO,warning,1320,83,15.903614457831326,0.00029245411294101823,0.0736984364611366,0.3859021772394904,0.5015151515151515,-0.342741935483871,-0.010829584536919179,-0.010829584536919179,17.0,-0.05447234832117847,0.29411764705882354,0.081075925219382,-0.3077024531785808,-0.05134939322613531,0.4117647058823529,0.23388019839755825,-0.6186959654178674
XLB,deep_green,1682,105,16.01904761904762,0.00038660489860412847,0.09742443444824038,0.17919220738980798,0.5130796670630202,-0.15428571428571425,0.7213373972557013,0.7213373972557013,,,,,,,,,
XLB,light_green,1941,126,15.404761904761905,0.0007591239750449897,0.19129924171133741,0.2554088971968736,0.5352910870685214,-0.2653362897265336,2.3930353850908546,2.3930353850908546,,,,,,,,,
XLB,warning,1461,93,15.709677419354838,-0.00023794582508227443,-0.059962347920733156,0.26434170812835883,0.5126625598904859,-0.32915360501567403,-0.42368831500637016,-0.42368831500637016,7.0,0.036113402317258916,0.5714285714285714,0.20501474926253693,-0.08828250401284121,0.070621753051341,0.7142857142857143,0.29498525073746307,-0.0802568218298555
XLC,deep_green,596,38,15.68421052631579,-0.0002202485893585965,-0.05550264451836632,0.19433517075744206,0.5167785234899329,-0.10715738104920706,-0.16168142740998803,-0.16168142740998803,,,,,,,,,
XLC,light_green,769,45,17.08888888888889,0.0009925127601814498,0.25011321556572536,0.2292090431729898,0.5539661898569571,-0.13291762389235304,0.9799697905196347,0.9799697905196347,,,,,,,,,
XLC,warning,586,38,15.421052631578947,0.0006439454804783476,0.1622742610805436,0.2431795159110572,0.5580204778156996,-0.1971964387194544,0.36109551390795924,0.36109551390795924,3.0,0.01674930317868432,0.6666666666666666,0.096132596685083,-0.05562705562705561,0.07257801216512867,0.6666666666666666,0.1426519337016574,-0.02645502645502662
XLE,deep_green,1602,103,15.553398058252426,0.00012128084560553608,0.030562773092595093,0.22410154704442334,0.5,-0.14519427402862992,0.03607462646333648,0.03607462646333648,,,,,,,,,
XLE,light_green,2069,129,16.03875968992248,0.0005344671798088696,0.13468572931183512,0.3300756360347932,0.5229579507008216,-0.34915156744319825,0.9307505667902449,0.9307505667902449,,,,,,,,,
XLE,warning,1412,94,15.02127659574468,0.0001975032130576162,0.04977080969051928,0.32492240422304786,0.5191218130311614,-0.4367909238249595,-0.021984092651219478,-0.021984092651219478,10.0,-0.06215206853400258,0.2,0.058721934369602824,-0.31225997045790255,-0.05825582346066971,0.4,0.07662168045276463,-0.2927621861152142
XLF,deep_green,1565,104,15.048076923076923,0.0002896880072898282,0.07300137783703671,0.18600612181642454,0.5086261980830671,-0.22344610542879634,0.4125715255342317,0.4125715255342317,,,,,,,,,
XLF,light_green,1929,130,14.838461538461539,1.3270215431810539e-05,0.0033440942888162558,0.3395241472326351,0.512182477967859,-0.5460207612456748,-0.3408909094684892,-0.3408909094684892,,,,,,,,,
XLF,warning,1587,101,15.712871287128714,0.0006409990696595633,0.16153176555420995,0.3304600308656513,0.5173282923755513,-0.32784588441331,0.9666896767027418,0.9666896767027418,6.0,0.026465686706195035,0.6666666666666666,0.12187659357470682,-0.07675438596491224,0.03514917911638229,0.6666666666666666,0.12850586435492084,-0.08497807017543846
XLI,deep_green,1541,103,14.96116504854369,0.00045813792534927367,0.11545075718801696,0.15507568214703205,0.536015574302401,-0.10207379477511443,0.8819056874005393,0.8819056874005393,,,,,,,,,
XLI,light_green,1970,127,15.511811023622048,0.0008036572966224506,0.20252163874885756,0.2208452084801456,0.5411167512690356,-0.22570654277971347,3.025987685000503,3.025987685000503,,,,,,,,,
XLI,warning,1573,95,16.557894736842105,-9.202296127370336e-05,-0.023189786240973245,0.24985600644975473,0.5276541640178004,-0.32225913621262453,-0.28888996734346784,-0.28888996734346784,5.0,0.019067976319776768,0.4,0.1361243825410965,-0.0313011233504199,-0.004453113187443436,0.4,0.17256458012794562,-0.11026837806301049
XLK,deep_green,1250,98,12.755102040816327,0.00028718259647244395,0.07237001431105587,0.1670230631517381,0.5224,-0.10341183574879219,0.3358743831585804,0.3358743831585804,,,,,,,,,
XLK,light_green,2224,124,17.93548387096774,0.0006529271906754123,0.1645376520502039,0.25069775128551475,0.5427158273381295,-0.3653846153846154,2.237897938005344,2.237897938005344,,,,,,,,,
XLK,warning,1610,98,16.428571428571427,0.0008100587525360211,0.20413480563907732,0.23746130296451823,0.5484472049689441,-0.19658848614072494,2.0765237371772307,2.0765237371772307,9.0,0.0037940224753297094,0.6666666666666666,0.14802863769285057,-0.25812807881773403,-0.00321173575338544,0.5555555555555556,0.21448018553998183,-0.2817733990147784
XLP,deep_green,1774,87,20.39080459770115,0.0001414887854084025,0.035655173922917435,0.10847611335791443,0.5186020293122886,-0.08583576933297911,0.23302412271895734,0.23302412271895734,,,,,,,,,
XLP,light_green,1739,111,15.666666666666666,0.0004130464951618505,0.10408771678078634,0.16164498034212085,0.5399654974123059,-0.15543591524835004,0.8738275467983436,0.8738275467983436,,,,,,,,,
XLP,warning,1570,95,16.526315789473685,0.0003017443667461381,0.0760395804200268,0.15803791137577045,0.5401273885350318,-0.1582733812949641,0.48554466379168804,0.48554466379168804,1.0,0.002084056964223757,1.0,0.002084056964223757,0.002084056964223757,0.007988885029524218,1.0,0.007988885029524218,0.007988885029524218
XLRE,deep_green,824,55,14.981818181818182,9.017087393536662e-05,0.02272306023171239,0.15157818519477687,0.5182038834951457,-0.1342239185750637,0.037391372901934616,0.037391372901934616,,,,,,,,,
XLRE,light_green,977,68,14.367647058823529,0.0008417384510982275,0.21211808967675333,0.23876520961497358,0.5383828045035824,-0.32142857142857145,1.0352150541899356,1.0352150541899356,,,,,,,,,
XLRE,warning,809,49,16.510204081632654,-0.0004072362611695021,-0.10262353781471453,0.20882784482631075,0.522867737948084,-0.23424036281179134,-0.3295922227986874,-0.3295922227986874,4.0,0.004154991222687837,0.5,0.09677419354838701,-0.10069444444444442,0.002215993487005158,0.5,0.11838709677419357,-0.12180170575692961
XLU,deep_green,1462,91,16.065934065934066,0.00042564300106786765,0.10726203626910265,0.14067544237949237,0.5403556771545828,-0.09710798620323685,0.758838764129254,0.758838764129254,,,,,,,,,
XLU,light_green,1943,120,16.191666666666666,0.0006985508290141705,0.17603480891157097,0.21818278140037567,0.5424601132269686,-0.2541980312680949,2.23864772815219,2.23864772815219,,,,,,,,,
XLU,warning,1678,102,16.45098039215686,-0.00033745686853080574,-0.08503913086976304,0.19086190300059871,0.49761620977353993,-0.2561117578579744,-0.4977815691150329,-0.4977815691150329,7.0,0.00014507687667970299,0.7142857142857143,0.08679245283018866,-0.1927357937902754,0.025144356730787583,0.5714285714285714,0.16864897834705705,-0.16285881663737556
XLV,deep_green,1596,99,16.12121212121212,0.0002627854530487441,0.06622193416828351,0.1319758610070394,0.5144110275689223,-0.10178153169139038,0.4393924176894175,0.4393924176894175,,,,,,,,,
XLV,light_green,1855,127,14.606299212598426,0.0005805563365389845,0.14630019680782408,0.17482771180035178,0.537466307277628,-0.140817501439263,1.6224588243070817,1.6224588243070817,,,,,,,,,
XLV,warning,1633,101,16.168316831683168,0.0001873167056551305,0.04720380982509289,0.19415849291914186,0.5376607470912431,-0.23486529318541996,0.20146818892366136,0.20146818892366136,6.0,0.04695942199834685,0.8333333333333334,0.1367875647668395,-0.0030576587070473282,0.054702846641243065,0.8333333333333334,0.1658031088082903,-0.003458925262507684
XLY,deep_green,1499,111,13.504504504504505,0.00025966060637211787,0.0654344728057737,0.17020300890382484,0.5103402268178786,-0.13108185460789923,0.35427308299155436,0.35427308299155436,,,,,,,,,
XLY,light_green,1819,134,13.574626865671641,0.0007735659492056346,0.19493861919981992,0.23882837990022787,0.5343595382078065,-0.2956896551724138,2.324429874106754,2.324429874106754,,,,,,,,,
XLY,warning,1765,102,17.30392156862745,0.00031744404940186986,0.0799959004492712,0.2449686310778858,0.545042492917847,-0.366887417218543,0.41656662731338123,0.41656662731338123,5.0,0.058626004646618934,1.0,0.1308142629058009,0.029654036243822013,0.06709449120913782,0.8,0.13826503459286843,-0.04825067281814699
